+--------+----------------------------------------------------+--------------------------------------------------+
| Locale | Key                                                | Value in other locales or source                 |
|   en   | permissions.permission.group                                  | Access all records or users in my group                                                                                                                            |
|   en   | permissions.permission.group_read                             | Group Read                                                                                                                                                         |
|   en   | permissions.permission.import                                 | Import                                                                                                                                                             |
|   en   | permissions.permission.incident                               | Incident                                                                                                                                                           |
|   en   | permissions.permission.incident_details_from_case             | Add Incident Details to another user's case                                                                                                                        |
|   en   | permissions.permission.incident_from_case                     | Create an incident from a case                                                                                                                                     |
|   en   | permissions.permission.manage                                 | Manage                                                                                                                                                             |
|   en   | permissions.permission.metadata                               | Forms, Lookups                                                                                                                                                     |
|   en   | permissions.permission.potential_match                        | Potential Match                                                                                                                                                    |
|   en   | permissions.permission.read                                   | Read                                                                                                                                                               |
|   en   | permissions.permission.reassign                               | Reassign                                                                                                                                                           |
|   en   | permissions.permission.referral                               | Referral                                                                                                                                                           |
|   en   | permissions.permission.referral_from_service                  | Refer Case from Service form                                                                                                                                       |
|   en   | permissions.permission.report                                 | Report                                                                                                                                                             |
|   en   | permissions.permission.request_approval                       | Request for approval                                                                                                                                               |
|   en   | permissions.permission.request_approval_bia                   | Request BIA approval                                                                                                                                               |
|   en   | permissions.permission.request_approval_case_plan             | Request Case Plan approval                                                                                                                                         |
|   en   | permissions.permission.request_approval_closure               | Request Closure approval                                                                                                                                           |
|   en   | permissions.permission.role                                   | Roles                                                                                                                                                              |
|   en   | permissions.permission.search_owned_by_others                 | Search for case records owned by other users                                                                                                                       |
|   en   | permissions.permission.self                                   | Access only my records or user                                                                                                                                     |
|   en   | permissions.permission.services_section_from_case             | Add Service provision to another user's case                                                                                                                       |
|   en   | permissions.permission.specific_roles                         | Access specified list of roles                                                                                                                                     |
|   en   | permissions.permission.sync_mobile                            | Sync with mobile device                                                                                                                                            |
|   en   | permissions.permission.system                                 | System                                                                                                                                                             |
|   en   | permissions.permission.tracing_request                        | Tracing Request                                                                                                                                                    |
|   en   | permissions.permission.transfer                               | Transfer                                                                                                                                                           |
|   en   | permissions.permission.user                                   | Users                                                                                                                                                              |
|   en   | permissions.permission.user_group                             | User Groups                                                                                                                                                        |
|   en   | permissions.permission.view_approvals                         | View Approvals                                                                                                                                                     |
|   en   | permissions.permission.view_assessment                        | View Assessment                                                                                                                                                    |
|   en   | permissions.permission.view_protection_concerns_filter        | View Protection Concerns Filter                                                                                                                                    |
|   en   | permissions.permission.write                                  | Write                                                                                                                                                              |
|   en   | phone                                                         | Phone                                                                                                                                                              |
|   en   | position                                                      | Position                                                                                                                                                           |
|   en   | preposition.at_label                                          | at                                                                                                                                                                 |
|   en   | primero_module.description                                    | Description                                                                                                                                                        |
|   en   | primero_module.name                                           | Name                                                                                                                                                               |
|   en   | primero_module.show                                           | View                                                                                                                                                               |
|   en   | primero_program.description                                   | Description                                                                                                                                                        |
|   en   | primero_program.end_date                                      | Program end date                                                                                                                                                   |
|   en   | primero_program.name                                          | Name                                                                                                                                                               |
|   en   | primero_program.show                                          | View                                                                                                                                                               |
|   en   | primero_program.start_date                                    | Program start date                                                                                                                                                 |
|   en   | reassign.no_records_selected                                  | No records selected                                                                                                                                                |
|   en   | record                                                        | record                                                                                                                                                             |
|   en   | report.as_of_date                                             | As of Date                                                                                                                                                         |
|   en   | report.description                                            | Description                                                                                                                                                        |
|   en   | report.download                                               | Download                                                                                                                                                           |
|   en   | report.filters.attribute                                      | Filter                                                                                                                                                             |
|   en   | report.filters.value                                          | With                                                                                                                                                               |
|   en   | report.heading                                                | Primero Reports                                                                                                                                                    |
|   en   | report.name                                                   | Name                                                                                                                                                               |
|   en   | report.type                                                   | Type                                                                                                                                                               |
|   en   | reports.register_new_report                                   | Create Report                                                                                                                                                      |
|   en   | role.description                                              | Description                                                                                                                                                        |
|   en   | roles.list                                                    | List of Roles                                                                                                                                                      |
|   en   | roles.name                                                    | Role Name                                                                                                                                                          |
|   en   | saved                                                         | Saved                                                                                                                                                              |
|   en   | select_all_results                                            | Select all results                                                                                                                                                 |
|   en   | session.has_expired                                           | Your session has expired. Please re-login.                                                                                                                         |
|   en   | session.no_token_in_header                                    | no session token in headers or cookies                                                                                                                             |
|   en   | session.no_token_provided                                     | no session token provided                                                                                                                                          |
|   en   | string_sources_failed                                         | Some fields failed to load, refresh the page to load all fields.                                                                                                   |
|   en   | tracing_request.change_log                                    | Change Log                                                                                                                                                         |
|   en   | tracing_request.date_of_inquiry                               | Date of Inquiry                                                                                                                                                    |
|   en   | tracing_request.enquirer_date                                 | Date of Inquiry                                                                                                                                                    |
|   en   | tracing_request.enquirer_name                                 | Inquirer Name                                                                                                                                                      |
|   en   | tracing_request.id                                            | ID#                                                                                                                                                                |
|   en   | tracing_request.last_updated                                  | Last updated                                                                                                                                                       |
|   en   | tracing_request.name_of_inquirer                              | Name of Inquirer                                                                                                                                                   |
|   en   | tracing_request.registered_by                                 | Registered by                                                                                                                                                      |
|   en   | tracing_request.select                                        | Select                                                                                                                                                             |
|   en   | tracing_request.tracing_requests                              | Tracing Requests                                                                                                                                                   |
|   en   | tracing_request.unflag_error_message                          | Please explain why you are unflagging this record.                                                                                                                 |
|   en   | tracing_request.unflag_record                                 | Unflag Record                                                                                                                                                      |
|   en   | tracing_requests.register_new_tracing_request                 | New Tracing Request                                                                                                                                                |
|   en   | transfer.to_user_local_status_label                           | Status                                                                                                                                                             |
|   en   | transfer.user_local_status_accepted                           | Accepted                                                                                                                                                           |
|   en   | transfer.user_local_status_inprogress                         | In Progress                                                                                                                                                        |
|   en   | transfer.user_local_status_pending                            | Pending                                                                                                                                                            |
|   en   | transfer.user_local_status_rejected                           | Rejected                                                                                                                                                           |
|   en   | unique_id                                                     | Unique ID                                                                                                                                                          |
|   en   | user.code                                                     | User Code                                                                                                                                                          |
|   en   | user.create                                                   | Create                                                                                                                                                             |
|   en   | user.organization                                             | Organization                                                                                                                                                       |
|   en   | user.position                                                 | Position                                                                                                                                                           |
|   en   | user.update                                                   | Update                                                                                                                                                             |
|   en   | user_group.description                                        | Description                                                                                                                                                        |
|   en   | user_group.name                                               | Name                                                                                                                                                               |
|   en   | users.messages.disable                                        | Are you sure you want to disable this user?                                                                                                                        |
|   en   | users.sort_by.label                                           | Sort by                                                                                                                                                            |
|   en   | will_paginate.models.bulk_export                              | {"one"=>"Bulk file export", "other"=>"Bulk file exports"}                                                                                                          |
|   en   | will_paginate.models.child                                    | {"one"=>"Case", "other"=>"Cases"}                                                                                                                                  |
|   en   | will_paginate.models.hash                                     | {"one"=>"Matching Result", "other"=>"Matching Results"}                                                                                                            |
|   en   | will_paginate.models.incident                                 | {"one"=>"Incident", "other"=>"Incidents"}                                                                                                                          |
|   en   | will_paginate.models.report                                   | {"one"=>"Report", "other"=>"Reports"}                                                                                                                              |
|   en   | will_paginate.next_label                                      | Next &#8594;                                                                                                                                                       |
|   en   | will_paginate.page_entries_info.multi_page_html               | Displaying %{model} <b>%{from} - %{to}</b> of <b>%{count}</b> in total                                                                                             |
|   en   | will_paginate.page_entries_info.single_page_html              | {"zero"=>"No %{model} found", "one"=>"Displaying <b>1</b> %{model}", "other"=>"Displaying <b>all %{count}</b> %{model}"}                                           |
|   en   | will_paginate.page_gap                                        | &hellip;                                                                                                                                                           |
|   en   | will_paginate.previous_label                                  | &#8592; Previous                                                                                                                                                   |
+--------+---------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+
config/locales/en.yml
